# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [1000 - height_gain] [popularity] [street_width] [100*random] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 2 
v 0 2285621 48799723 111 
v 1 2281686 48801120 106 
v 2 2278786 48801103 114 
v 3 2270016 48801552 113 
v 4 2261681 48803582 113 
v 5 2252316 48807461 117 
v 6 2191959 48706200 76 
v 7 2173455 48715471 148 
v 8 2171630 48716925 155 
v 9 2198325 48747850 145 
v 10 2217642 48748731 86 
v 11 2223097 48781705 169 
v 12 2223245 48783121 172 
v 13 2256549 48721659 88 
v 14 2258748 48723023 89 
v 15 2165684 48749458 158 
v 16 2166879 48750912 157 
v 17 2164585 48766446 98 
v 18 2164796 48765111 90 
v 19 2168079 48764885 88 
v 20 2168717 48764869 88 
v 21 2165579 48766654 98 
v 22 2167860 48766703 97 
v 23 2167502 48764901 88 
v 24 2166661 48766760 99 
v 25 2166422 48764972 89 
v 26 2268549 48729578 67 
v 27 2169871 48766219 94 
v 28 2131173 48784447 162 
v 29 2145637 48770139 99 
v 30 2133565 48774736 125 
v 31 2129646 48776608 111 
v 32 2131511 48780884 131 
v 33 2132221 48782772 138 
v 34 2147324 48771020 106 
v 35 2152695 48768952 100 
v 36 2157741 48767578 98 
v 37 2158825 48767128 96 
v 38 2159435 48766855 95 
v 39 2160569 48765354 91 
v 40 2160983 48765108 90 
v 41 2160933 48765060 90 
v 42 2160928 48764830 90 
v 43 2166691 48763689 95 
v 44 2169746 48762155 104 
v 45 2176488 48761384 106 
v 46 2181042 48761717 93 
v 47 2220119 48746850 81 
v 48 2220560 48746550 81 
v 49 2223024 48745478 91 
v 50 2223769 48745073 93 
v 51 2224191 48744678 92 
v 52 2225598 48743453 84 
v 53 2225183 48742300 84 
v 54 2226675 48744252 78 
v 55 2228169 48744866 72 
v 56 2225670 48745590 78 
v 57 2224253 48746480 79 
v 58 2221149 48745216 94 
v 59 2223701 48742825 100 
v 60 2224470 48741758 92 
v 61 2230855 48734821 77 
v 62 2229546 48736263 76 
v 63 2230140 48738078 84 
v 64 2219829 48746423 84 
v 65 2218396 48747851 84 
v 66 2211167 48749282 97 
v 67 2168059 48764622 88 
v 68 2167448 48763653 93 
v 69 2168263 48763327 97 
v 70 2169451 48763313 92 
v 71 2171465 48763921 87 
v 72 2169121 48762883 95 
v 73 2171672 48763868 87 
v 74 2161254 48765211 90 
v 75 2217955 48785220 170 
v 76 2218580 48781360 165 
v 77 2219307 48782320 165 
v 78 2219807 48784511 170 
v 79 2218785 48782453 166 
v 80 2138979 48795654 129 
v 81 2140953 48794630 127 
v 82 2150045 48788005 137 
v 83 2148480 48789573 135 
v 84 2146062 48791678 134 
v 85 2150207 48787162 142 
v 86 2151554 48786379 147 
v 87 2153122 48785780 150 
v 88 2151639 48786720 145 
v 89 2150507 48787504 140 
v 90 2148679 48787081 152 
v 91 2167237 48781424 177 
v 92 2133202 48787458 152 
v 93 2136860 48788287 168 
v 94 2170739 48780880 174 
v 95 2174078 48780825 176 
v 96 2173997 48782365 176 
v 97 2195916 48779843 178 
v 98 2197033 48779759 179 
v 99 2206313 48778933 175 
v 100 2207395 48778884 174 
v 101 2216078 48778356 173 
v 102 2216816 48778948 170 
v 103 2207935 48779356 173 
v 104 2222524 48774359 170 
v 105 2219544 48776064 167 
v 106 2219348 48775934 167 
v 107 2219321 48775680 168 
v 108 2219477 48775542 168 
v 109 2221403 48775830 169 
v 110 2221787 48775689 169 
v 111 2226737 48741458 81 
v 112 2229713 48736397 77 
v 113 2231341 48776850 165 
v 114 2229153 48766232 117 
v 115 2227591 48764771 113 
v 116 2219949 48758814 99 
v 117 2217270 48755853 104 
v 118 2214968 48752595 75 
v 119 2214808 48752422 74 
v 120 2218759 48747814 84 
v 121 2226485 48774314 156 
v 122 2226817 48774380 155 
v 123 2226802 48774311 155 
v 124 2226929 48774410 154 
v 125 2227018 48774357 154 
v 126 2226994 48774287 153 
v 127 2226889 48774263 154 
v 128 2225339 48774551 161 
v 129 2225336 48774401 161 
v 130 2226845 48774893 156 
v 131 2244978 48772711 167 
v 132 2216346 48748956 85 
v 133 2229832 48770135 134 
v 134 2228890 48775833 158 
v 135 2228955 48775944 158 
v 136 2230363 48776652 165 
v 137 2231172 48776638 163 
v 138 2232548 48776014 164 
v 139 2231165 48775864 164 
v 140 2229784 48765945 116 
v 141 2228694 48770946 141 
v 142 2154967 48784353 151 
v 143 2168002 48764488 88 
v 144 2170957 48764496 87 
v 145 2231197 48777175 166 
v 146 2231243 48777093 165 
v 147 2230947 48776945 165 
v 148 2230761 48777091 165 
v 149 2170828 48764608 87 
v 150 2170982 48764985 89 
v 151 2178696 48766385 111 
v 152 2160809 48765222 90 
v 153 2160934 48765206 90 
v 154 2160712 48765154 90 
v 155 2160775 48765054 90 
v 156 2163130 48765193 90 
v 157 2164043 48765178 90 
v 158 2163912 48765049 89 
v 159 2163770 48764989 89 
v 160 2163206 48764993 89 
v 161 2167475 48763518 94 
v 162 2141017 48771697 105 
v 163 2130354 48775751 109 
v 164 2130349 48775499 107 
v 165 2128900 48776641 109 
v 166 2127962 48776708 109 
v 167 2127020 48775894 106 
v 168 2123457 48777126 110 
v 169 2150381 48787682 140 
v 170 2239538 48731263 88 
v 171 2237728 48731649 86 
v 172 2225926 48738885 91 
v 173 2224123 48741705 98 
v 174 2241345 48730070 96 
v 175 2240909 48730540 95 
v 176 2241542 48731062 92 
v 177 2242348 48730861 95 
v 178 2241679 48729890 97 
v 179 2242270 48729690 99 
v 180 2242624 48730693 95 
v 181 2242741 48730580 95 
v 182 2242949 48730301 98 
v 183 2242361 48730399 94 
v 184 2129251 48769386 146 
v 185 2129061 48768992 147 
v 186 2129084 48768873 147 
v 187 2128983 48768832 147 
v 188 2128876 48768854 147 
v 189 2128831 48768948 147 
v 190 2128965 48769016 146 
v 191 2129524 48767855 147 
v 192 2129334 48768282 148 
v 193 2128989 48766648 149 
v 194 2123251 48758797 155 
v 195 2120488 48750286 149 
v 196 2120200 48749818 150 
v 197 2120011 48749922 150 
v 198 2119990 48750158 150 
v 199 2119845 48749527 150 
v 200 2120026 48750659 150 
v 201 2119378 48748628 152 
v 202 2117810 48747613 154 
v 203 2117576 48747641 155 
v 204 2117555 48747491 155 
v 205 2117760 48747471 155 
v 206 2116945 48748590 154 
v 207 2114572 48749566 154 
v 208 2113766 48749872 154 
v 209 2113792 48749423 155 
v 210 2114054 48749578 154 
v 211 2114050 48749765 154 
v 212 2113806 48749630 154 
v 213 2111219 48748386 158 
v 214 2109650 48747706 158 
v 215 2109651 48747551 158 
v 216 2109742 48747732 158 
v 217 2109851 48747638 158 
v 218 2110988 48748320 158 
v 219 2126969 48763956 157 
v 220 2128437 48768804 148 
v 221 2119636 48769068 155 
v 222 2119844 48769135 155 
v 223 2119924 48769048 155 
v 224 2119660 48768978 155 
v 225 2118890 48768013 157 
v 226 2116431 48765882 162 
v 227 2118285 48767457 158 
v 228 2116743 48767312 162 
v 229 2117622 48766888 160 
v 230 2115027 48764669 162 
v 231 2120923 48762115 158 
v 232 2118905 48762758 159 
v 233 2226599 48775229 156 
v 234 2226390 48775292 157 
v 235 2228511 48774017 149 
v 236 2222456 48774485 170 
v 237 2224259 48780748 168 
v 238 2224702 48780386 166 
v 239 2226839 48778568 167 
v 240 2227413 48778083 167 
v 241 2227995 48777597 167 
v 242 2228509 48777099 166 
v 243 2227292 48779325 169 
v 244 2228476 48779233 170 
v 245 2226612 48781576 172 
v 246 2228908 48778690 169 
v 247 2229342 48778143 169 
v 248 2235128 48781212 172 
v 249 2232525 48779425 170 
v 250 2235640 48780697 172 
v 251 2236164 48780184 172 
v 252 2226253 48780577 170 
v 253 2224693 48779276 162 
v 254 2225556 48787064 175 
v 255 2221567 48789180 174 
v 256 2223098 48787164 173 
v 257 2223841 48786675 173 
v 258 2222042 48789060 172 
v 259 2222254 48788943 172 
v 260 2224351 48786724 175 
v 261 2232390 48797433 111 
v 262 2236221 48789103 166 
v 263 2236907 48788724 167 
v 264 2227772 48787695 174 
v 265 2229053 48785703 175 
v 266 2226884 48790405 170 
v 267 2227835 48780039 171 
v 268 2232307 48795354 121 
v 269 2216196 48799927 169 
v 270 2218115 48819893 113 
v 271 2239624 48777687 170 
v 272 2239623 48777527 169 
v 273 2239752 48777591 169 
v 274 2240186 48779894 171 
v 275 2240375 48779823 171 
v 276 2248157 48770571 164 
v 277 2248206 48770689 165 
v 278 2251291 48779261 170 
v 279 2250193 48777692 171 
v 280 2253209 48778671 169 
v 281 2253353 48778578 169 
v 282 2251698 48778987 170 
v 283 2251790 48779503 169 
v 284 2254642 48777792 171 
v 285 2154317 48785272 153 
v 286 2154132 48785959 156 
v 287 2152572 48786343 149 
v 288 2152324 48786586 149 
v 289 2152365 48789055 133 
v 290 2152539 48789357 132 
v 291 2154625 48790594 125 
v 292 2155419 48791080 124 
v 293 2156078 48791701 122 
v 294 2153513 48793578 121 
v 295 2147773 48790237 135 
v 296 2218837 48782569 166 
v 297 2218887 48782673 166 
v 298 2218900 48781436 165 
v 299 2222341 48783981 170 
v 300 2219546 48781241 167 
v 301 2219920 48775499 168 
v 302 2222311 48778371 166 
v 303 2179032 48777973 177 
v 304 2179099 48777849 176 
v 305 2179303 48777895 176 
v 306 2179315 48777922 176 
v 307 2179124 48778028 177 
v 308 2173496 48781143 176 
v 309 2172006 48781314 175 
v 310 2175502 48779242 178 
v 311 2133268 48787678 154 
v 312 2126041 48788899 173 
v 313 2125869 48788983 173 
v 314 2125763 48788875 174 
v 315 2208102 48778836 173 
v 316 2208115 48778957 173 
v 317 2208136 48779251 173 
v 318 2208354 48779326 173 
v 319 2208021 48779350 173 
v 320 2215078 48782755 167 
v 321 2213768 48782563 168 
v 322 2214970 48782760 168 
v 323 2248413 48800022 165 
v 324 2248319 48800225 165 
v 325 2248969 48800296 165 
v 326 2249010 48800150 165 
v 327 2248910 48800019 165 
v 328 2248662 48799952 165 
v 329 2125613 48789677 177 
v 330 2129020 48788804 168 
v 331 2129378 48788484 166 
v 332 2115237 48790061 179 
v 333 2228781 48765855 118 
v 334 2229438 48766798 118 
v 335 2229619 48766603 116 
v 336 2230232 48766537 116 
v 337 2230561 48766605 116 
v 338 2152145 48786496 147 
v 339 2134802 48798078 137 
v 340 2133297 48799514 138 
v 341 2123980 48807068 127 
v 342 2130882 48802055 131 
v 343 2131800 48803516 133 
v 344 2133971 48802926 137 
v 345 2134576 48802752 140 
v 346 2135421 48804099 139 
v 347 2135963 48804991 136 
v 348 2136043 48805253 134 
v 349 2132494 48805040 130 
v 350 2131157 48804902 129 
v 351 2132551 48804761 131 
v 352 2132079 48803973 132 
v 353 2131713 48801337 132 
v 354 2219205 48746876 84 
v 355 2124347 48804444 130 
v 356 2124033 48804672 131 
v 357 2126371 48803116 128 
v 358 2129635 48802244 130 
v 359 2130812 48801926 131 
v 360 2157833 48798440 114 
v 361 2158048 48798460 114 
v 362 2159760 48799405 113 
v 363 2157817 48798527 114 
v 364 2153441 48798417 117 
v 365 2126452 48803246 128 
v 366 2126840 48804456 130 
v 367 2126257 48804589 132 
v 368 2141197 48805635 136 
v 369 2141244 48805747 135 
v 370 2131804 48801667 131 
v 371 2131875 48801787 131 
v 372 2131625 48801855 132 
v 373 2131545 48801732 131 
v 374 2136225 48800505 132 
v 375 2136275 48800604 132 
v 376 2167234 48803769 104 
v 377 2175910 48804022 96 
v 378 2185636 48805775 89 
v 379 2115425 48802124 122 
v 380 2127522 48798781 125 
v 381 2107156 48803239 121 
v 382 2123861 48793393 132 
v 383 2129715 48802375 130 
v 384 2131183 48804987 129 
v 385 2131034 48804973 129 
v 386 2131011 48804890 129 
v 387 2226701 48774211 155 
v 388 2226880 48774190 154 
v 389 2228830 48775961 158 
v 390 2222897 48779980 164 
v 391 2218356 48781058 166 
v 392 2217916 48781208 166 
v 393 2188799 48693140 116 
v 394 2166755 48693265 111 
v 395 2165967 48694021 103 
v 396 2165497 48694348 98 
v 397 2165176 48694289 97 
v 398 2164287 48694403 92 
v 399 2168447 48696061 86 
v 400 2168936 48695944 86 
v 401 2169160 48695790 87 
v 402 2169376 48695546 90 
v 403 2169381 48695378 92 
v 404 2169571 48695219 92 
v 405 2170150 48695283 92 
v 406 2169546 48695707 89 
v 407 2165732 48694722 97 
v 408 2169195 48695182 93 
v 409 2169011 48695930 86 
v 410 2170241 48695413 91 
v 411 2170476 48695250 92 
v 412 2193482 48694005 109 
v 413 2192672 48694538 103 
v 414 2192075 48693751 109 
v 415 2131399 48782437 141 
v 416 2129121 48779387 124 
v 417 2129420 48778929 116 
v 418 2130799 48779254 126 
v 419 2130906 48781883 140 
v 420 2124268 48793982 130 
v 421 2126030 48793467 136 
v 422 2128023 48796460 130 
v 423 2129867 48794534 139 
v 424 2125523 48795825 128 
v 425 2125768 48799282 122 
v 426 2123785 48796341 127 
v 427 2124440 48799648 120 
v 428 2123262 48797880 124 
v 429 2122485 48796728 125 
v 430 2120832 48794264 135 
v 431 2120015 48793182 143 
v 432 2117965 48792454 148 
v 433 2122133 48793885 133 
v 434 2121246 48794878 131 
v 435 2122549 48794499 131 
v 436 2122059 48796104 127 
v 437 2123366 48795718 128 
v 438 2125097 48795205 128 
v 439 2126845 48794687 132 
v 440 2129467 48793911 140 
v 441 2129087 48793298 142 
v 442 2126439 48794077 134 
v 443 2124681 48794595 129 
v 444 2122959 48795104 129 
v 445 2121662 48795494 129 
v 446 2127615 48795847 131 
v 447 2128662 48792877 143 
v 448 2128269 48792226 150 
v 449 2128935 48788508 167 
v 450 2203110 48779712 179 
v 451 2189426 48780755 180 
v 452 2124562 48797491 125 
v 453 2126292 48796973 128 
v 454 2130609 48795701 138 
v 455 2125452 48797224 127 
v 456 2125914 48796404 128 
v 457 2127132 48796722 129 
v 458 2126663 48797517 127 
v 459 2125122 48793734 133 
v 460 2125544 48794341 132 
v 461 2123455 48794230 132 
v 462 2123051 48793618 132 
v 463 2118063 48792486 146 
v 464 2118358 48792227 152 
v 465 2117156 48788806 179 
v 466 2223909 48786660 174 
v 467 2224023 48786550 173 
v 468 2168952 48787669 177 
v 469 2165904 48786035 178 
v 470 2169176 48787581 177 
v 471 2169236 48786971 178 
v 472 2167161 48786658 177 
v 473 2169214 48786327 178 
v 474 2169190 48785757 179 
v 475 2178180 48784877 177 
v 476 2177258 48784349 177 
v 477 2175827 48785284 178 
v 478 2175600 48784673 177 
v 479 2172755 48786418 178 
v 480 2172559 48785798 177 
v 481 2172317 48785190 179 
v 482 2269695 48745090 83 
v 483 2269399 48746087 85 
v 484 2272043 48749901 91 
v 485 2272150 48750056 91 
v 486 2272076 48750269 92 
v 487 2271949 48750021 91 
v 488 2271977 48743711 74 
v 489 2268561 48742249 71 
v 490 2271136 48744595 79 
v 491 2271351 48741568 68 
v 492 2273773 48741711 61 
v 493 2272337 48743291 72 
v 494 2273546 48743522 70 
v 495 2275299 48741782 60 
v 496 2274460 48742569 62 
v 497 2269637 48746013 85 
v 498 2274225 48745644 77 
v 499 2273645 48746582 81 
v 500 2270977 48746161 83 
v 501 2271876 48746455 83 
v 502 2274901 48746809 80 
v 503 2275044 48746753 79 
v 504 2274937 48744985 72 
v 505 2223113 48747175 78 
v 506 2226632 48744650 77 
v 507 2222021 48747972 74 
v 508 2220937 48749040 73 
v 509 2126658 48765457 153 
v 510 2117178 48766504 162 
v 511 2119262 48765448 158 
v 512 2123643 48764049 155 
v 513 2121965 48761782 157 
v 514 2121925 48761725 157 
v 515 2125167 48763530 156 
v 516 2123561 48761265 156 
v 517 2123523 48761209 156 
v 518 2237469 48731704 85 
v 519 2236632 48731413 92 
v 520 2234232 48731303 89 
v 521 2231724 48731693 82 
v 522 2228814 48732597 83 
v 523 2239058 48730322 94 
v 524 2239849 48730914 93 
v 525 2240731 48729969 97 
v 526 2239547 48730685 94 
v 527 2239805 48729928 96 
v 528 2241531 48729229 101 
v 529 2243504 48730472 95 
v 530 2244624 48729697 96 
v 531 2245369 48728093 92 
v 532 2246133 48726403 89 
v 533 2246962 48724546 92 
v 534 2243743 48727975 97 
v 535 2240979 48729662 98 
v 536 2240526 48729666 96 
v 537 2240992 48729609 98 
v 538 2235011 48727565 112 
v 539 2236378 48728342 104 
v 540 2257650 48720473 100 
v 541 2265011 48727985 75 
v 542 2271514 48726346 74 
v 543 2272594 48720982 83 
v 544 2272815 48721063 83 
v 545 2272703 48721157 83 
v 546 2272565 48721129 83 
v 547 2256887 48726376 85 
v 548 2255895 48725266 85 
v 549 2251393 48721164 94 
v 550 2127657 48729768 156 
v 551 2127029 48729445 155 
v 552 2127283 48729198 155 
v 553 2127903 48729303 155 
v 554 2145269 48729561 157 
v 555 2127941 48729583 156 
v 556 2223350 48739062 108 
v 557 2223588 48739046 107 
v 558 2223533 48739224 108 
v 559 2223872 48739955 110 
v 560 2222499 48739113 104 
v 561 2222697 48738744 102 
v 562 2224091 48738642 104 
v 563 2224361 48738881 105 
v 564 2223574 48737998 101 
v 565 2221822 48737761 89 
v 566 2221401 48737738 91 
v 567 2224592 48738253 101 
v 568 2221525 48738284 94 
v 569 2221885 48737395 86 
v 570 2221886 48737323 85 
v 571 2223008 48740041 114 
v 572 2226005 48742834 80 
v 573 2230995 48738774 77 
v 574 2228549 48735808 74 
v 575 2228568 48735732 74 
v 576 2228639 48735699 74 
v 577 2228793 48735737 74 
v 578 2228785 48735823 74 
v 579 2215098 48733865 87 
v 580 2213350 48732291 103 
v 581 2215280 48733022 95 
v 582 2221022 48735116 79 
v 583 2221120 48735189 79 
v 584 2221236 48735116 79 
v 585 2224075 48735104 79 
v 586 2225131 48735844 75 
v 587 2221345 48733149 89 
v 588 2222297 48735112 80 
v 589 2222415 48733945 85 
v 590 2221117 48735039 79 
v 591 2217669 48733266 88 
v 592 2217963 48733232 88 
v 593 2218440 48733237 88 
v 594 2220103 48733192 90 
v 595 2224526 48732921 88 
v 596 2225976 48733931 84 
v 597 2222922 48733038 89 
v 598 2225035 48734524 81 
v 599 2226774 48735820 75 
v 600 2223477 48732173 92 
v 601 2221197 48730547 106 
v 602 2221307 48732327 94 
v 603 2221109 48730574 106 
v 604 2222598 48733058 89 
v 605 2222587 48732240 93 
v 606 2219152 48732467 93 
v 607 2225304 48732045 92 
v 608 2225937 48732133 91 
v 609 2228534 48732710 84 
v 610 2228560 48734298 79 
v 611 2228639 48732780 83 
v 612 2222976 48730393 103 
v 613 2222183 48731262 99 
v 614 2221211 48731409 99 
v 615 2219135 48731559 102 
v 616 2217884 48732703 92 
v 617 2219116 48730604 107 
v 618 2217820 48732218 93 
v 619 2217589 48731294 96 
v 620 2218376 48730240 103 
v 621 2221001 48730493 106 
v 622 2221218 48730480 106 
v 623 2225191 48729575 115 
v 624 2226547 48729031 106 
v 625 2229379 48727467 118 
v 626 2221192 48730450 107 
v 627 2223232 48728891 131 
v 628 2224068 48730021 109 
v 629 2226313 48731124 98 
v 630 2226669 48730161 104 
v 631 2228297 48731870 86 
v 632 2226827 48732378 87 
v 633 2228710 48732449 84 
v 634 2228670 48732599 83 
v 635 2230365 48727622 108 
v 636 2232274 48730459 98 
v 637 2233254 48730463 96 
v 638 2235434 48727805 110 
v 639 2230951 48727295 113 
v 640 2231450 48730594 91 
v 641 2228921 48730394 90 
v 642 2219998 48734504 82 
v 643 2221047 48735068 79 
v 644 2218289 48733601 85 
v 645 2215184 48731961 103 
v 646 2217960 48734456 83 
v 647 2217644 48735222 82 
v 648 2217253 48736165 86 
v 649 2215168 48733712 88 
v 650 2214737 48734705 84 
v 651 2214455 48735336 85 
v 652 2214307 48735721 88 
v 653 2214049 48735301 86 
v 654 2214352 48734600 84 
v 655 2210838 48735231 94 
v 656 2215636 48735785 87 
v 657 2218526 48736737 85 
v 658 2222672 48737310 89 
v 659 2224600 48737249 91 
v 660 2225828 48737505 91 
v 661 2226760 48737650 90 
v 662 2225673 48737548 92 
v 663 2225174 48737413 91 
v 664 2227671 48737604 90 
v 665 2225300 48739750 96 
v 666 2226144 48738611 90 
v 667 2229515 48738226 85 
v 668 2221185 48738587 95 
v 669 2225119 48736681 79 
v 670 2221071 48737138 87 
v 671 2221031 48730450 106 
