# u_old  v_old  key  u_xy  v_xy
10381651 409484238 0 38 10475
24912956 24913004 0 55 81
24912958 24913004 0 57 81
24912987 24923995 0 72 97
24912988 24912989 0 73 74
24913010 24913012 0 83 84
24913023 24913022 0 92 91
24923830 6194954302 0 95 20469
25239055 353694953 0 121 9963
25239055 164348857 0 121 2319
27472835 3815727012 0 138 19363
28381420 28381427 0 139 140
28389915 243898177 0 142 5721
28390251 89162998 0 148 979
28868829 28868827 0 173 172
28868829 28868854 0 173 176
28868855 450112279 0 177 11022
28868855 28868831 0 177 174
28869547 336783880 0 198 9714
29015696 29015697 0 218 219
29015697 29015696 0 219 218
30254677 96484914 0 244 997
30560446 442190 0 249 14
30560446 568456755 0 249 11774
30621790 7434232679 0 252 20989
30624823 112400145 0 267 1270
30624823 112395352 0 267 1261
30677730 30677811 0 274 280
30677963 30763305 0 282 354
30677965 10118108172 0 283 21704
30677968 129500123 0 286 1517
30693129 30693126 0 304 303
30693178 30733089 0 309 336
30693178 30693179 0 309 310
30693179 30693178 0 310 309
30730579 244603161 0 322 5906
30732894 4474760435 0 333 19748
30733085 30733088 0 334 335
30733088 30733085 0 335 334
30733089 30793832 0 336 388
30733089 30693178 0 336 309
30763252 30763303 0 347 352
30763263 30769745 0 348 363
30763303 30763252 0 352 347
30763304 30763305 0 353 354
30763305 30677963 0 354 282
30769728 30769730 0 361 362
30769748 30693123 0 365 301
30769750 30769748 0 366 365
30769865 30769868 0 372 373
30769868 30677810 0 373 279
30793832 30733089 0 388 336
30793840 129500041 0 390 1516
34909804 34909807 0 415 417
34909804 1037154598 0 415 13676
34909805 827009036 0 416 13002
34909807 251489933 0 417 6511
34909808 169280514 0 418 2396
34909808 169279414 0 418 2393
34956128 1183627003 0 430 13870
34959054 7703312544 0 439 21085
34960071 8684425180 0 449 21351
34960071 43017279 0 449 701
35118433 927018717 0 455 13395
35118433 150738338 0 455 2115
35135061 59968544 0 465 830
35157845 161395188 0 467 2289
35157898 35157900 0 468 469
35157900 35157898 0 469 468
35157971 35157928 0 475 472
35157971 235835979 0 475 4893
35492277 36709337 0 505 667
35492277 36709331 0 505 666
35493267 310436892 0 509 9125
35784396 10125437799 0 521 21708
35876731 35876736 0 522 523
35876795 35876782 0 528 527
36476892 36476891 0 605 604
36476892 36480662 0 605 634
36476947 513972750 0 607 11608
36477662 513972750 0 611 11608
36478353 36480971 0 614 638
36478353 36476947 0 614 607
36480664 360978 0 636 4
36480971 36477659 0 638 608
36597967 64621796 0 658 896
39861002 2443190689 0 689 17954
42118613 11364033868 0 696 22034
43017282 43017312 0 702 706
43017282 137352699 0 702 1643
43017325 43017309 0 708 705
43017325 7289029902 0 708 20959
50684987 213644039 0 746 4441
50684987 416310522 0 746 10570
51173423 35462733 0 750 504
51208346 51210440 0 758 767
51208347 52679427 0 759 791
51210440 51208346 0 767 758
52679427 51208347 0 791 759
59622950 1982992326 0 806 17002
59629608 206389686 0 812 4076
59723134 59723149 0 819 821
60011749 1106778985 0 838 13800
60011749 60011727 0 838 834
60012670 192823357 0 839 2888
60012670 192823013 0 839 2887
60032479 60032480 0 843 844
60032480 60032479 0 844 843
60032480 60032479 1 844 843
60580061 60580062 0 866 867
60580061 243344248 0 866 5528
64622806 64621796 0 901 896
74889076 35876731 0 908 522
74906073 1426119164 0 910 14591
76461939 602643783 0 915 12042
81079742 1426119176 0 919 14592
81079742 243455222 0 919 5574
82408956 30560446 0 937 249
83064892 2514890937 0 954 18120
87935323 1123351511 0 961 13814
88194432 88195739 0 963 965
88195532 249581622 0 964 6301
88199104 249550533 0 970 6300
88199104 930283247 0 970 13404
88199568 8220828356 0 971 21235
96484914 30254677 0 997 244
96484914 5678186342 0 997 20246
96486361 229816708 0 998 4730
96486361 213850873 0 998 4447
96512098 907016569 0 1012 13279
96530607 96530609 0 1028 1029
96530607 206128207 0 1028 3768
96530609 466187924 0 1029 11188
100293163 166334525 0 1040 2361
100293163 166334756 0 1040 2362
100294494 250528509 0 1041 6340
100297158 6387235916 0 1062 20576
100297166 100299464 0 1064 1073
100299464 100297166 0 1073 1064
100300379 100300380 0 1080 1081
100300380 100300379 0 1081 1080
100300380 100303790 0 1081 1105
100301938 3810924299 0 1092 19359
100302802 829633411 0 1098 13005
100303790 100300380 0 1105 1081
105349602 105349594 0 1122 1117
105349612 9300969679 0 1123 21468
105349612 207447689 0 1123 4118
105356397 193873572 0 1128 2948
105356397 193879334 0 1128 2949
105368255 105376792 0 1141 1143
108300614 108300613 0 1190 1189
108300616 108300615 0 1192 1191
108368123 366217348 0 1196 10172
111674478 501558059 0 1219 11525
111675193 111674478 0 1220 1219
111675193 111677369 0 1220 1222
112378641 114277884 0 1251 1280
112395351 112395627 0 1260 1263
112395352 30624823 0 1261 267
112395627 112395351 0 1263 1260
112395831 112395627 0 1264 1263
112395831 112396316 0 1264 1267
112396316 112395831 0 1267 1264
114277884 112378641 0 1280 1251
115647966 29015693 0 1302 217
115674988 115674990 0 1310 1311
115674990 115674981 0 1311 1309
116141316 9900156760 0 1355 21637
116141316 442196 0 1355 17
116142969 148726565 0 1365 2075
116147572 116147539 0 1375 1373
116147572 175078684 0 1375 2488
119106341 6965906228 0 1426 20852
125629793 242698574 0 1489 5363
128064623 364921411 0 1510 10109
128598877 128600197 0 1512 1513
128598877 139280053 0 1512 1843
129500123 30677968 0 1517 286
130032800 205494831 0 1551 3625
130032800 130032801 0 1551 1552
130032822 130032800 0 1553 1551
130032822 130032798 0 1553 1550
130033374 130033433 0 1566 1567
130033433 130033374 0 1567 1566
132763862 176784883 0 1587 2525
132765473 132764941 0 1596 1593
132765476 132765470 0 1598 1594
132773113 11954391884 0 1607 22218
137281683 198863918 0 1634 3241
137283445 1118665252 0 1636 13813
137292918 258522307 0 1641 7054
137352701 137283445 0 1644 1636
137572217 1836529393 0 1656 16446
137605396 253850536 0 1662 6787
139182688 139231601 0 1736 1795
139182688 139182689 0 1736 1737
139182689 139182688 0 1737 1736
139183098 11931387015 0 1740 22208
139185773 288842824 0 1747 8108
139187000 139187003 0 1748 1749
139187003 139187000 0 1749 1748
139187003 3622343435 0 1749 19143
139192417 139194004 0 1766 1773
139194004 139192417 0 1773 1766
139213400 334660672 0 1784 9699
139220768 139219159 0 1787 1786
139231601 139182688 0 1795 1736
139234934 139237003 0 1807 1812
139235855 139235856 0 1810 1811
139235856 139235855 0 1811 1810
139237003 139234934 0 1812 1807
139275588 114279639 0 1839 1282
139275870 139277187 0 1840 1841
139277187 139277568 0 1841 1842
139277568 139275588 0 1842 1839
139280053 128598877 0 1843 1512
139280055 139280053 0 1844 1843
139313137 139314156 0 1864 1865
139315445 139328376 0 1867 1871
139458486 139489276 0 1872 1894
139482588 139484116 0 1886 1888
139482588 139484482 0 1886 1889
139484116 139482588 0 1888 1886
139487629 1494113204 0 1891 14775
139489283 2497906078 0 1897 18091
141443735 141444963 0 1914 1918
141443846 771229905 0 1915 12820
141446378 2581274362 0 1920 18226
141596145 139284388 0 1932 1846
141596149 442194 0 1933 16
141596303 141596149 0 1934 1933
141600012 7140210040 0 1945 20904
141600258 141600011 0 1947 1944
141607401 141607400 0 1979 1978
141607401 141607250 0 1979 1977
141607528 141607529 0 1981 1982
141607529 141607528 0 1982 1981
141607715 34909804 0 1983 415
141943513 141943812 0 2017 2020
141943812 141943513 0 2020 2017
141944042 471166521 0 2021 11272
141944591 141944621 0 2022 2023
141944621 141944591 0 2023 2022
141944621 604013966 0 2023 12062
142634951 116118817 0 2030 1327
148726565 116142969 0 2075 1365
149037556 1416618525 0 2088 14557
149037556 604029292 0 2088 12065
149037580 604032045 0 2089 12066
149037580 149037546 0 2089 2086
149038494 1302831634 0 2094 14042
149038494 1302831855 0 2094 14044
149038820 1345571621 0 2100 14190
150743269 208653826 0 2130 4290
150743276 208653797 0 2131 4289
150743280 208653833 0 2132 4291
150743280 208653826 0 2132 4290
150744688 703049007 0 2147 12661
150744980 150744969 0 2154 2153
152528837 152528856 0 2164 2165
152528856 152528837 0 2165 2164
152530915 526296933 0 2169 11626
153555206 9223751387 0 2171 21445
153555206 156574467 0 2171 2187
156574550 156574567 0 2195 2197
156574550 156574531 0 2195 2193
156574772 105412991 0 2220 1162
156823798 4428846089 0 2231 19713
158292822 128054158 0 2255 1508
158704573 158704576 0 2284 2285
158704576 158704573 0 2285 2284
161395188 6703119600 0 2289 20737
161395188 35157845 0 2289 467
162613336 162613330 0 2302 2301
162613336 277762544 0 2302 7861
163931688 5745367032 0 2316 20297
165123236 2666215388 0 2322 18366
165134853 165123236 0 2326 2322
166334756 100293163 0 2362 1040
166413130 21389561 0 2366 50
166417408 166417416 0 2369 2370
166417408 25239223 0 2369 122
169278795 251490191 0 2390 6512
169278795 251489823 0 2390 6510
169280514 34909808 0 2396 418
172960597 172958521 0 2420 2419
173311195 173317686 0 2448 2453
173311195 173317685 0 2448 2452
173311201 173311187 0 2449 2446
176735394 605545821 0 2503 12079
176738029 176756824 0 2504 2515
176756824 176735394 0 2515 2503
176762224 141598360 0 2516 1938
176784883 132763862 0 2525 1587
176785475 176786045 0 2526 2528
176785476 176785475 0 2527 2526
176840451 178745312 0 2567 2689
176842449 176841134 0 2573 2569
176844902 176837387 0 2574 2561
176854270 3185267537 0 2575 18759
176864419 176841135 0 2588 2570
176866183 244603161 0 2591 5906
178688180 178697289 0 2617 2630
178697289 178688180 0 2630 2617
178697919 178685607 0 2632 2614
178698211 3102677982 0 2633 18699
178704258 2696719360 0 2637 18402
178716655 178721711 0 2647 2654
178719843 4284129238 0 2650 19592
178719843 178722366 0 2650 2657
178720925 178707747 0 2652 2642
178721010 178721711 0 2653 2654
178721711 178721010 0 2654 2653
178721711 178716655 0 2654 2647
178722366 178719843 0 2657 2650
178726741 178719843 0 2663 2650
178746636 176840451 0 2690 2567
178755114 8077923092 0 2692 21197
178755368 178756613 0 2693 2696
178755369 8077923088 0 2694 21196
178755519 178755369 0 2695 2694
178755519 178755368 0 2695 2693
180220480 180220481 0 2733 2734
180220481 180220480 0 2734 2733
180223559 180220480 0 2744 2733
180232904 730033583 0 2754 12742
181310538 1868789499 0 2784 16834
181310543 198807023 0 2785 3201
185719237 185722367 0 2806 2811
185719237 185723183 0 2806 2813
185719617 571910317 0 2807 11837
185719617 185719618 0 2807 2808
190691030 208509592 0 2825 4242
190973768 2172425831 0 2834 17299
192491770 192491778 0 2848 2849
192492032 2649564146 0 2851 18341
192771004 197393547 0 2872 3076
192801121 5915582202 0 2876 20370
192803783 587639679 0 2877 11936
192808082 192809528 0 2878 2879
192809528 192808082 0 2879 2878
192811605 2955887582 0 2882 18637
192823013 2200417041 0 2887 17392
192824288 1615374220 0 2889 15289
192824288 192820230 0 2889 2883
193726695 193730640 0 2915 2921
193727159 1901808390 0 2917 16894
193730462 193731791 0 2920 2922
193730640 193726695 0 2921 2915
193731791 193730462 0 2922 2920
193740485 193741587 0 2926 2928
193741587 193740485 0 2928 2926
193741587 193743531 0 2928 2932
193743531 193741587 0 2932 2928
195460042 96537668 0 2971 1033
195462998 195460042 0 2972 2971
196188491 196683922 0 2988 3026
196188574 196188597 0 2990 2991
196188600 196616052 0 2992 3014
196188796 196188612 0 3000 2994
196475636 1869644361 0 3010 16842
196475636 1863269603 0 3010 16734
196586670 195518389 0 3011 2978
196616052 196188600 0 3014 2992
196683922 196188491 0 3026 2988
196683963 196684077 0 3027 3031
196684063 196684074 0 3029 3030
197393283 197393372 0 3057 3070
197393372 1707765160 0 3070 15623
197393547 192771004 0 3076 2872
197757758 197766439 0 3110 3112
198660719 198761477 0 3167 3171
198761477 198660719 0 3171 3167
198789110 5747813121 0 3184 20301
198789110 2263022715 0 3184 17452
198807023 181310543 0 3201 2785
198863918 137281683 0 3241 1634
199008134 199080024 0 3266 3277
199080024 199008134 0 3277 3266
199084260 244131754 0 3280 5784
199121868 205512896 0 3298 3714
199121868 1404776224 0 3298 14520
199122780 199128723 0 3299 3315
199122780 206162673 0 3299 3820
199123279 206156096 0 3301 3787
199127868 206162673 0 3314 3820
