# old_node_id  xy_node_id
360978 4
442190 14
442194 16
442196 17
10381651 38
21378244 47
21389560 49
21389561 50
24912956 55
24912958 57
24912987 72
24912988 73
24912989 74
24913004 81
24913010 83
24913012 84
24913022 91
24913023 92
24923830 95
24923995 97
25078033 115
25239055 121
25239223 122
27472835 138
28381420 139
28381427 140
28389915 142
28390251 148
28868768 164
28868827 172
28868829 173
28868831 174
28868854 176
28868855 177
28869459 192
28869547 198
29015693 217
29015696 218
29015697 219
30254677 244
30560446 249
30621790 252
30624733 262
30624762 265
30624823 267
30677730 274
30677810 279
30677811 280
30677963 282
30677965 283
30677968 286
30693100 295
30693123 301
30693126 303
30693129 304
30693178 309
30693179 310
30730579 322
30732894 333
30733085 334
30733088 335
30733089 336
30763100 344
30763252 347
30763263 348
30763303 352
30763304 353
30763305 354
30763491 359
30769728 361
30769730 362
30769745 363
30769748 365
30769750 366
30769865 372
30769868 373
30793832 388
30793840 390
34909766 410
34909804 415
34909805 416
34909807 417
34909808 418
34909811 419
34956128 430
34958085 438
34959054 439
34960071 449
34960212 451
35118433 455
35135061 465
35157845 467
35157898 468
35157900 469
35157928 472
35157971 475
35462733 504
35492277 505
35493267 509
35784396 521
35876731 522
35876736 523
35876782 527
35876795 528
36476891 604
36476892 605
36476947 607
36477659 608
36477662 611
36478353 614
36480662 634
36480664 636
36480971 638
36597967 658
36709331 666
36709337 667
39858293 683
39861002 689
39861004 690
42118613 696
43017279 701
43017282 702
43017309 705
43017312 706
43017325 708
50684987 746
51173423 750
51208132 754
51208346 758
51208347 759
51210440 767
52679427 791
59622950 806
59629608 812
59723134 819
59723149 821
59968544 830
60011727 834
60011743 836
60011749 838
60012670 839
60032479 843
60032480 844
60579692 859
60579932 862
60580061 866
60580062 867
64621796 896
64622806 901
74889076 908
74906073 910
76461939 915
81079742 919
82408956 937
83064888 953
83064892 954
87935323 961
88194432 963
88195532 964
88195739 965
88198573 969
88199104 970
88199568 971
89162998 979
89163097 982
96484914 997
96486361 998
96487231 999
96511169 1010
96512098 1012
96512099 1013
96530607 1028
96530609 1029
96537668 1033
100293163 1040
100294494 1041
100297158 1062
100297166 1064
100299464 1073
100300379 1080
100300380 1081
100301938 1092
100302802 1098
100303790 1105
105349594 1117
105349597 1118
105349602 1122
105349612 1123
105356385 1126
105356397 1128
105368255 1141
105376792 1143
105412991 1162
108300613 1189
108300614 1190
108300615 1191
108300616 1192
108303842 1194
108368123 1196
110548699 1203
111674478 1219
111675193 1220
111677369 1222
112378641 1251
112395351 1260
112395352 1261
112395627 1263
112395831 1264
112396316 1267
112400145 1270
112420300 1274
114277884 1280
114279639 1282
115647966 1302
115674981 1309
115674988 1310
115674990 1311
116118817 1327
116141316 1355
116142969 1365
116147539 1373
116147572 1375
119106341 1426
119110881 1435
125382546 1461
125391183 1468
125487646 1471
125629793 1489
128054158 1508
128064623 1510
128598877 1512
128600197 1513
129500041 1516
129500123 1517
130032798 1550
130032800 1551
130032801 1552
130032822 1553
130033167 1560
130033374 1566
130033433 1567
132763840 1584
132763862 1587
132764941 1593
132765470 1594
132765473 1596
132765476 1598
132766559 1599
132773113 1607
137281683 1634
137283445 1636
137292918 1641
137352699 1643
137352701 1644
137572217 1656
137605396 1662
139182688 1736
139182689 1737
139183098 1740
139185773 1747
139187000 1748
139187003 1749
139192417 1766
139194004 1773
139213400 1784
139219159 1786
139220768 1787
139231601 1795
139234934 1807
139235855 1810
139235856 1811
139237003 1812
139275588 1839
139275870 1840
139277187 1841
139277568 1842
139280053 1843
139280055 1844
139284388 1846
139313137 1864
139314156 1865
139315445 1867
139328376 1871
139458486 1872
139460608 1876
139482588 1886
139484116 1888
139484482 1889
139487629 1891
139489276 1894
139489283 1897
141443735 1914
141443846 1915
141444963 1918
141446378 1920
141588923 1926
141596145 1932
141596149 1933
141596303 1934
141598360 1938
141600011 1944
141600012 1945
141600258 1947
141607250 1977
141607400 1978
141607401 1979
141607528 1981
141607529 1982
141607715 1983
141943513 2017
141943812 2020
141944042 2021
141944591 2022
141944621 2023
142634951 2030
145910318 2054
145911498 2055
148726565 2075
149037546 2086
149037556 2088
149037580 2089
149038494 2094
149038820 2100
150738338 2115
150743269 2130
150743276 2131
150743280 2132
150744688 2147
150744969 2153
150744980 2154
150744989 2155
152528837 2164
152528856 2165
152530915 2169
153555206 2171
156574467 2187
156574531 2193
156574550 2195
156574567 2197
156574590 2200
156574772 2220
156823790 2230
156823798 2231
158292822 2255
158700138 2275
158704573 2284
158704576 2285
161395188 2289
162613330 2301
162613336 2302
163931688 2316
164348857 2319
165123236 2322
165134853 2326
166334525 2361
166334756 2362
166413130 2366
166417408 2369
166417416 2370
168745835 2384
168745845 2387
169278795 2390
169279414 2393
169280514 2396
172958521 2419
172960597 2420
173311187 2446
173311195 2448
173311201 2449
173317685 2452
173317686 2453
175078684 2488
176735394 2503
176738029 2504
176756824 2515
176762224 2516
176784883 2525
176785475 2526
176785476 2527
176786045 2528
176837387 2561
176840451 2567
176841134 2569
176841135 2570
176842449 2573
176844902 2574
176854270 2575
176864419 2588
176866183 2591
178685607 2614
178688180 2617
178697289 2630
178697919 2632
178698211 2633
178704258 2637
178707743 2640
178707747 2642
178716655 2647
178719843 2650
178720925 2652
178721010 2653
178721711 2654
178722366 2657
178724459 2659
178726741 2663
178732133 2667
178745312 2689
178746636 2690
178755114 2692
178755368 2693
178755369 2694
178755519 2695
178756613 2696
180220480 2733
180220481 2734
180223559 2744
180232904 2754
181310538 2784
181310543 2785
185719237 2806
185719617 2807
185719618 2808
185722367 2811
185723183 2813
185727672 2816
190691030 2825
190973768 2834
192491767 2847
192491770 2848
192491778 2849
192492032 2851
192771004 2872
192801121 2876
192803783 2877
192808082 2878
192809528 2879
192811605 2882
192820230 2883
192823013 2887
192823357 2888
192824288 2889
193726695 2915
193727159 2917
193730462 2920
193730640 2921
193731791 2922
193740485 2926
193741587 2928
193743531 2932
193873572 2948
193879334 2949
195460042 2971
195462998 2972
195518389 2978
196188491 2988
196188574 2990
196188597 2991
196188600 2992
196188612 2994
196188796 3000
196475636 3010
196586670 3011
196616052 3014
196683922 3026
196683963 3027
196684063 3029
196684074 3030
196684077 3031
197393283 3057
197393372 3070
197393547 3076
197445822 3089
197643335 3104
197757758 3110
197766439 3112
198660719 3167
198761477 3171
198789110 3184
198790626 3186
198807023 3201
198863918 3241
199008134 3266
199080024 3277
199084260 3280
199121868 3298
199122780 3299
199123279 3301
199125094 3305
199127868 3314
199128723 3315
199164227 3323
199164525 3324
199190811 3332
199190813 3333
199191875 3335
199191966 3336
199462978 3353
199463005 3356
199463015 3357
199463030 3358
199463042 3360
199463057 3361
199463137 3362
199463143 3363
200785029 3370
200808991 3371
201191824 3382
201479892 3402
201482437 3403
202358589 3428
202358594 3429
202358596 3430
202379976 3431
202480301 3438
202549988 3444
203247658 3458
203247659 3459
203865005 3482
203866263 3483
203947623 3490
205008696 3524
205331342 3550
205338508 3562
205338528 3564
205338660 3566
205350413 3570
205434192 3574
205436210 3578
205453141 3590
205460117 3599
205462054 3600
205463714 3602
205463715 3603
205465077 3605
205479637 3618
205488077 3621
205494831 3625
205495345 3631
205495864 3632
205497478 3643
205497520 3645
205497544 3646
205497714 3647
205501475 3689
205502989 3699
205512888 3713
205512896 3714
205512905 3715
205608435 3728
206096981 3749
206097426 3755
206128197 3765
206128207 3768
206130429 3773
206130442 3774
206130445 3775
206142594 3782
206156093 3785
206156096 3787
206156858 3788
206158775 3791
206162655 3813
206162662 3817
206162666 3818
206162673 3820
206162675 3821
206162677 3822
206163295 3825
206163299 3827
206217262 3838
206217309 3839
206217310 3840
206219067 3851
206237093 3868
206238788 3874
206238790 3875
206240048 3878
206240050 3879
206240596 3881
206240683 3882
206266186 3890
206266197 3891
206269589 3901
206274069 3909
206278358 3933
206279746 3939
206279749 3940
206286919 3944
206292679 3947
206292711 3949
206292862 3950
206293525 3951
206293530 3952
206301466 3958
206301481 3960
206301494 3961
206307386 3966
206316045 3969
206316050 3970
206388680 4043
206389347 4057
206389358 4058
206389686 4076
206389761 4077
206389765 4080
206389766 4081
206389767 4082
207422128 4097
207422135 4099
207430918 4103
207438426 4109
207447689 4118
207449920 4137
207449923 4138
207453228 4140
207454567 4141
207459379 4143
207459381 4144
207459385 4147
207459388 4148
207501541 4156
207502162 4166
207502167 4167
207502196 4171
208320017 4188
208322798 4195
208324851 4198
208334447 4212
208509592 4242
208514129 4245
208514356 4246
208514357 4247
208516949 4253
208532995 4280
208533091 4281
208533114 4282
208653797 4289
208653826 4290
208653833 4291
208678454 4297
208679725 4301
208693462 4306
208705964 4310
208717348 4313
208720859 4314
208839948 4317
208840813 4321
209090607 4360
209136717 4366
209140651 4368
209163528 4370
211217155 4411
213620652 4437
213644039 4441
213850873 4447
213850880 4448
213851917 4449
215108886 4468
215927388 4502
215930007 4504
215932070 4505
215932073 4506
216341374 4508
216354097 4514
216354819 4515
216400650 4530
216482808 4558
218202575 4586
218202732 4588
218202877 4595
218202920 4597
218318295 4613
218318369 4619
218318414 4623
218318462 4626
218318490 4629
218318735 4642
224294973 4662
224773566 4665
226266865 4670
227312858 4672
229190922 4692
229191504 4693
229192565 4695
229193616 4700
229816708 4730
229857834 4736
229863124 4741
229902749 4749
229902752 4750
229914991 4756
231762248 4786
231762348 4787
231934435 4827
231946329 4829
231946450 4830
233273804 4889
235835979 4893
237071581 4898
237071583 4899
237079626 4926
237079629 4927
237079632 4928
237395930 4944
237416445 4946
237605290 4962
237628132 4972
241158753 5010
241158765 5011
241160278 5012
241468896 5017
241468903 5018
241468928 5022
241468945 5023
241468971 5025
241468978 5026
241468980 5027
241469884 5028
241473532 5035
241473612 5036
241485407 5040
241485411 5041
241485418 5043
241485423 5044
241485430 5045
241485445 5048
241485468 5051
241491022 5058
241595607 5099
241595611 5100
241802917 5146
241889760 5196
241889767 5197
241891140 5199
241891142 5200
241893998 5214
241928634 5245
241929205 5252
241929567 5259
242163690 5266
242246319 5287
242542750 5290
242543191 5292
242548265 5296
242548315 5298
242548319 5299
242548321 5300
242564512 5318
242564659 5319
242566128 5324
