# old_node_id  xy_node_id
228381371 4684
212579934 4424
35876739 524
209138152 4367
139309189 1848
247178518 6106
246787072 6085
206241190 3883
229193668 4701
197445681 3084
34911997 423
242554953 5307
176832817 2560
243996076 5761
209187488 4373
216421514 4536
302520118 8732
243892208 5675
192749116 2857
112345088 1240
118076333 1411
276078622 7809
1045340828 13710
125629781 1485
199189185 3327
192864208 2891
35133847 459
256680712 6948
255419803 6875
208327843 4207
205495061 3630
218154172 4566
163925743 2313
251672742 6573
11937457266 22209
153593275 2179
36472568 563
141942132 1996
251137255 6423
416079017 10560
207436205 4108
193796225 2938
246116143 5985
173785236 2467
175106748 2493
241862294 5176
251002939 6414
208338951 4217
206239793 3876
139120653 1681
244909996 5920
60580500 878
1834590202 16235
246140210 6007
206387888 4034
51241790 769
301841679 8629
145901752 2049
243349933 5571
243793615 5646
206161065 3811
139270002 1835
449221548 11001
315034821 9309
197864020 3133
494714603 11450
6895726752 20835
218318684 4639
256021509 6912
180213984 2732
253869569 6839
42118413 693
227668784 4678
130033020 1554
255424962 6892
162614026 2305
30624733 262
203317431 3474
257043163 6962
24913020 89
139460608 1876
241587219 5082
105358554 1131
178761791 2700
241902791 5229
81079986 928
243485293 5591
218231906 4600
251673280 6578
259100911 7211
221455383 4658
248376032 6248
247643775 6205
141605429 1971
198803976 3195
253830035 6774
251693136 6648
2199915734 17361
251878938 6697
244365012 5812
