status,query_id,benchmark,source_file,json_path,pair_type,via_vertex,path_fingerprint,path_node_count,edge_count,total_L,total_H,total_P_length,total_W_length,total_avg_pop,total_avg_width,total_road_changes,box_feasible,box_violations,validation_status,distinct_repeated_vertices,maximum_vertex_multiplicity,total_repeated_occurrences,repeated_directed_edge_count,repeated_undirected_edge_count,repeated_vertices,one_simple_loop,repeated_anchor_vertex,loop_edge_count,loop_length,loop_elevation,loop_popularity_length,loop_width_length,loop_avg_pop,loop_avg_width,two_edge_reciprocal_backtrack,loop_spans,pattern_label
analyzed,holdout_anchor_south_north_09_multi_tight,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[0],"S,P",17618,94f7dd23c2165c66a1ca85792f65b37f0935926e9a0351af22ace9db5fb890b6,410,409,51278.0,508.09999660402536,10382287.0,677525.0,202.47059167674246,13.212781309723468,147,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",14,2,14,3,12,"{""736"": 2, ""4939"": 2, ""5571"": 2, ""5572"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""16926"": 2, ""18032"": 2, ""19061"": 2, ""19062"": 2, ""19063"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 43, ""end_node_index"": 238, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 43, ""end_node_index"": 239, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 43, ""end_node_index"": 240, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 43, ""end_node_index"": 241, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 31, ""end_node_index"": 233, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 29, ""end_node_index"": 232, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 27, ""end_node_index"": 231, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 25, ""end_node_index"": 230, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 23, ""end_node_index"": 229, ""start_node_index"": 206}, {""anchor_vertex"": 5571, ""edge_count"": 10, ""end_node_index"": 218, ""start_node_index"": 208}, {""anchor_vertex"": 5572, ""edge_count"": 8, ""end_node_index"": 217, ""start_node_index"": 209}, {""anchor_vertex"": 19061, ""edge_count"": 6, ""end_node_index"": 216, ""start_node_index"": 210}, {""anchor_vertex"": 19062, ""edge_count"": 4, ""end_node_index"": 215, ""start_node_index"": 211}, {""anchor_vertex"": 19063, ""edge_count"": 2, ""end_node_index"": 214, ""start_node_index"": 212}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_09_multi_tight,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[1],"S,P",19065,ecfa2912da4ddae4fd097f428d9df370d0b132b960351a6453cc9f03a17a317d,410,409,51304.0,505.7999965623021,10361733.0,677655.0,201.96735147356932,13.208619210977702,149,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",14,2,14,3,12,"{""736"": 2, ""4939"": 2, ""5571"": 2, ""5572"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""16926"": 2, ""18032"": 2, ""19061"": 2, ""19062"": 2, ""19063"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 43, ""end_node_index"": 238, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 43, ""end_node_index"": 239, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 43, ""end_node_index"": 240, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 43, ""end_node_index"": 241, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 31, ""end_node_index"": 233, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 29, ""end_node_index"": 232, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 27, ""end_node_index"": 231, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 25, ""end_node_index"": 230, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 23, ""end_node_index"": 229, ""start_node_index"": 206}, {""anchor_vertex"": 5571, ""edge_count"": 10, ""end_node_index"": 218, ""start_node_index"": 208}, {""anchor_vertex"": 5572, ""edge_count"": 8, ""end_node_index"": 217, ""start_node_index"": 209}, {""anchor_vertex"": 19061, ""edge_count"": 6, ""end_node_index"": 216, ""start_node_index"": 210}, {""anchor_vertex"": 19062, ""edge_count"": 4, ""end_node_index"": 215, ""start_node_index"": 211}, {""anchor_vertex"": 19063, ""edge_count"": 2, ""end_node_index"": 214, ""start_node_index"": 212}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[2],"P,S",5646,b10f7fec865da0149a3eb2a3fabf19002d6fd45bf99116a044f582df1eeac0a9,421,420,48355.0,578.2000020071864,10462791.0,643675.0,216.3745424464895,13.311446592906629,158,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",22,2,22,0,18,"{""4748"": 2, ""4749"": 2, ""4750"": 2, ""4755"": 2, ""4756"": 2, ""9248"": 2, ""11624"": 2, ""11958"": 2, ""11959"": 2, ""12318"": 2, ""12711"": 2, ""13060"": 2, ""13722"": 2, ""14752"": 2, ""14765"": 2, ""14767"": 2, ""14771"": 2, ""14787"": 2, ""14804"": 2, ""15760"": 2, ""15800"": 2, ""15801"": 2}",False,4748,,,,,,,,False,"[{""anchor_vertex"": 14765, ""edge_count"": 82, ""end_node_index"": 338, ""start_node_index"": 256}, {""anchor_vertex"": 14767, ""edge_count"": 80, ""end_node_index"": 337, ""start_node_index"": 257}, {""anchor_vertex"": 14787, ""edge_count"": 78, ""end_node_index"": 336, ""start_node_index"": 258}, {""anchor_vertex"": 14771, ""edge_count"": 68, ""end_node_index"": 332, ""start_node_index"": 264}, {""anchor_vertex"": 14752, ""edge_count"": 66, ""end_node_index"": 331, ""start_node_index"": 265}, {""anchor_vertex"": 13722, ""edge_count"": 64, ""end_node_index"": 330, ""start_node_index"": 266}, {""anchor_vertex"": 9248, ""edge_count"": 62, ""end_node_index"": 329, ""start_node_index"": 267}, {""anchor_vertex"": 4756, ""edge_count"": 60, ""end_node_index"": 328, ""start_node_index"": 268}, {""anchor_vertex"": 4750, ""edge_count"": 58, ""end_node_index"": 327, ""start_node_index"": 269}, {""anchor_vertex"": 12711, ""edge_count"": 56, ""end_node_index"": 326, ""start_node_index"": 270}, {""anchor_vertex"": 11624, ""edge_count"": 54, ""end_node_index"": 325, ""start_node_index"": 271}, {""anchor_vertex"": 13060, ""edge_count"": 52, ""end_node_index"": 324, ""start_node_index"": 272}, {""anchor_vertex"": 14804, ""edge_count"": 50, ""end_node_index"": 323, ""start_node_index"": 273}, {""anchor_vertex"": 4749, ""edge_count"": 48, ""end_node_index"": 322, ""start_node_index"": 274}, {""anchor_vertex"": 4755, ""edge_count"": 36, ""end_node_index"": 314, ""start_node_index"": 278}, {""anchor_vertex"": 4748, ""edge_count"": 34, ""end_node_index"": 313, ""start_node_index"": 279}, {""anchor_vertex"": 15760, ""edge_count"": 21, ""end_node_index"": 304, ""start_node_index"": 283}, {""anchor_vertex"": 15800, ""edge_count"": 19, ""end_node_index"": 303, ""start_node_index"": 284}, {""anchor_vertex"": 15801, ""edge_count"": 17, ""end_node_index"": 302, ""start_node_index"": 285}, {""anchor_vertex"": 12318, ""edge_count"": 15, ""end_node_index"": 301, ""start_node_index"": 286}, {""anchor_vertex"": 11958, ""edge_count"": 13, ""end_node_index"": 300, ""start_node_index"": 287}, {""anchor_vertex"": 11959, ""edge_count"": 2, ""end_node_index"": 294, ""start_node_index"": 292}]",MULTIPLE_REPEATED_VERTICES
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[3],"P,S",5647,d16bdb1b82a6a2052dd745fdf13e7ad76fa9aef3c5171c4c114e3417dca2dba4,423,422,49373.0,593.9000018164515,10719327.0,648765.0,217.10908796305674,13.140076560063193,160,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",23,2,23,0,19,"{""4748"": 2, ""4749"": 2, ""4750"": 2, ""4755"": 2, ""4756"": 2, ""5646"": 2, ""9248"": 2, ""11624"": 2, ""11958"": 2, ""11959"": 2, ""12318"": 2, ""12711"": 2, ""13060"": 2, ""13722"": 2, ""14752"": 2, ""14765"": 2, ""14767"": 2, ""14771"": 2, ""14787"": 2, ""14804"": 2, ""15760"": 2, ""15800"": 2, ""15801"": 2}",False,4748,,,,,,,,False,"[{""anchor_vertex"": 14765, ""edge_count"": 84, ""end_node_index"": 340, ""start_node_index"": 256}, {""anchor_vertex"": 14767, ""edge_count"": 82, ""end_node_index"": 339, ""start_node_index"": 257}, {""anchor_vertex"": 14787, ""edge_count"": 80, ""end_node_index"": 338, ""start_node_index"": 258}, {""anchor_vertex"": 14771, ""edge_count"": 70, ""end_node_index"": 334, ""start_node_index"": 264}, {""anchor_vertex"": 14752, ""edge_count"": 68, ""end_node_index"": 333, ""start_node_index"": 265}, {""anchor_vertex"": 13722, ""edge_count"": 66, ""end_node_index"": 332, ""start_node_index"": 266}, {""anchor_vertex"": 9248, ""edge_count"": 64, ""end_node_index"": 331, ""start_node_index"": 267}, {""anchor_vertex"": 4756, ""edge_count"": 62, ""end_node_index"": 330, ""start_node_index"": 268}, {""anchor_vertex"": 4750, ""edge_count"": 60, ""end_node_index"": 329, ""start_node_index"": 269}, {""anchor_vertex"": 12711, ""edge_count"": 58, ""end_node_index"": 328, ""start_node_index"": 270}, {""anchor_vertex"": 11624, ""edge_count"": 56, ""end_node_index"": 327, ""start_node_index"": 271}, {""anchor_vertex"": 13060, ""edge_count"": 54, ""end_node_index"": 326, ""start_node_index"": 272}, {""anchor_vertex"": 14804, ""edge_count"": 52, ""end_node_index"": 325, ""start_node_index"": 273}, {""anchor_vertex"": 4749, ""edge_count"": 50, ""end_node_index"": 324, ""start_node_index"": 274}, {""anchor_vertex"": 4755, ""edge_count"": 38, ""end_node_index"": 316, ""start_node_index"": 278}, {""anchor_vertex"": 4748, ""edge_count"": 36, ""end_node_index"": 315, ""start_node_index"": 279}, {""anchor_vertex"": 15760, ""edge_count"": 23, ""end_node_index"": 306, ""start_node_index"": 283}, {""anchor_vertex"": 15800, ""edge_count"": 21, ""end_node_index"": 305, ""start_node_index"": 284}, {""anchor_vertex"": 15801, ""edge_count"": 19, ""end_node_index"": 304, ""start_node_index"": 285}, {""anchor_vertex"": 12318, ""edge_count"": 17, ""end_node_index"": 303, ""start_node_index"": 286}, {""anchor_vertex"": 11958, ""edge_count"": 15, ""end_node_index"": 302, ""start_node_index"": 287}, {""anchor_vertex"": 11959, ""edge_count"": 4, ""end_node_index"": 296, ""start_node_index"": 292}, {""anchor_vertex"": 5646, ""edge_count"": 2, ""end_node_index"": 295, ""start_node_index"": 293}]",MULTIPLE_REPEATED_VERTICES
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[4],"P,S",12317,6b3686bc5b6c859b2bb5f87a4fa0b2c1be7342bce628d9376fd859aefc3c49d6,423,422,48645.0,590.0000021979213,10530651.0,645125.0,216.47961763798952,13.261897420084285,160,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",23,2,23,0,19,"{""4748"": 2, ""4749"": 2, ""4750"": 2, ""4755"": 2, ""4756"": 2, ""5646"": 2, ""9248"": 2, ""11624"": 2, ""11958"": 2, ""11959"": 2, ""12318"": 2, ""12711"": 2, ""13060"": 2, ""13722"": 2, ""14752"": 2, ""14765"": 2, ""14767"": 2, ""14771"": 2, ""14787"": 2, ""14804"": 2, ""15760"": 2, ""15800"": 2, ""15801"": 2}",False,4748,,,,,,,,False,"[{""anchor_vertex"": 14765, ""edge_count"": 84, ""end_node_index"": 340, ""start_node_index"": 256}, {""anchor_vertex"": 14767, ""edge_count"": 82, ""end_node_index"": 339, ""start_node_index"": 257}, {""anchor_vertex"": 14787, ""edge_count"": 80, ""end_node_index"": 338, ""start_node_index"": 258}, {""anchor_vertex"": 14771, ""edge_count"": 70, ""end_node_index"": 334, ""start_node_index"": 264}, {""anchor_vertex"": 14752, ""edge_count"": 68, ""end_node_index"": 333, ""start_node_index"": 265}, {""anchor_vertex"": 13722, ""edge_count"": 66, ""end_node_index"": 332, ""start_node_index"": 266}, {""anchor_vertex"": 9248, ""edge_count"": 64, ""end_node_index"": 331, ""start_node_index"": 267}, {""anchor_vertex"": 4756, ""edge_count"": 62, ""end_node_index"": 330, ""start_node_index"": 268}, {""anchor_vertex"": 4750, ""edge_count"": 60, ""end_node_index"": 329, ""start_node_index"": 269}, {""anchor_vertex"": 12711, ""edge_count"": 58, ""end_node_index"": 328, ""start_node_index"": 270}, {""anchor_vertex"": 11624, ""edge_count"": 56, ""end_node_index"": 327, ""start_node_index"": 271}, {""anchor_vertex"": 13060, ""edge_count"": 54, ""end_node_index"": 326, ""start_node_index"": 272}, {""anchor_vertex"": 14804, ""edge_count"": 52, ""end_node_index"": 325, ""start_node_index"": 273}, {""anchor_vertex"": 4749, ""edge_count"": 50, ""end_node_index"": 324, ""start_node_index"": 274}, {""anchor_vertex"": 4755, ""edge_count"": 38, ""end_node_index"": 316, ""start_node_index"": 278}, {""anchor_vertex"": 4748, ""edge_count"": 36, ""end_node_index"": 315, ""start_node_index"": 279}, {""anchor_vertex"": 15760, ""edge_count"": 23, ""end_node_index"": 306, ""start_node_index"": 283}, {""anchor_vertex"": 15800, ""edge_count"": 21, ""end_node_index"": 305, ""start_node_index"": 284}, {""anchor_vertex"": 15801, ""edge_count"": 19, ""end_node_index"": 304, ""start_node_index"": 285}, {""anchor_vertex"": 12318, ""edge_count"": 17, ""end_node_index"": 303, ""start_node_index"": 286}, {""anchor_vertex"": 11958, ""edge_count"": 15, ""end_node_index"": 302, ""start_node_index"": 287}, {""anchor_vertex"": 11959, ""edge_count"": 4, ""end_node_index"": 296, ""start_node_index"": 292}, {""anchor_vertex"": 5646, ""edge_count"": 2, ""end_node_index"": 295, ""start_node_index"": 293}]",MULTIPLE_REPEATED_VERTICES
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[5],"S,P",1875,364393d752591b3af527149d8bec5ed994549f5f725ee19c89b32ceff9ebc1e5,400,399,50666.0,503.6999965310097,10327815.0,674465.0,203.84113606757984,13.311984368215372,144,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",9,2,9,3,7,"{""736"": 2, ""4939"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""16926"": 2, ""18032"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 33, ""end_node_index"": 228, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 33, ""end_node_index"": 229, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 33, ""end_node_index"": 230, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 33, ""end_node_index"": 231, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 21, ""end_node_index"": 223, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 19, ""end_node_index"": 222, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 17, ""end_node_index"": 221, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 15, ""end_node_index"": 220, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 13, ""end_node_index"": 219, ""start_node_index"": 206}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[6],"S,P",5504,301bcc79383a08b65045b3cf3c30dbdf4e6451e9a5155840f151c3c0d1a9d87e,408,407,50879.0,505.49999649077654,10375364.0,677520.0,203.92232551740403,13.31629945557106,148,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",11,2,11,3,8,"{""736"": 2, ""4939"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""14053"": 2, ""16563"": 2, ""16926"": 2, ""18032"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 41, ""end_node_index"": 236, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 41, ""end_node_index"": 237, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 41, ""end_node_index"": 238, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 41, ""end_node_index"": 239, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 29, ""end_node_index"": 231, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 27, ""end_node_index"": 230, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 25, ""end_node_index"": 229, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 23, ""end_node_index"": 228, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 21, ""end_node_index"": 227, ""start_node_index"": 206}, {""anchor_vertex"": 16563, ""edge_count"": 7, ""end_node_index"": 219, ""start_node_index"": 212}, {""anchor_vertex"": 14053, ""edge_count"": 5, ""end_node_index"": 218, ""start_node_index"": 213}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[7],"S,P",5569,36b364551833bb65f78acac3804f9c2780b3184f8bf15beb37fac3e11bd131ba,427,426,52004.0,509.19999647140503,10480517.0,691275.0,201.53290131528345,13.292727482501347,158,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",18,2,18,3,13,"{""736"": 2, ""4939"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""14053"": 2, ""16540"": 2, ""16563"": 2, ""16571"": 2, ""16572"": 2, ""16575"": 2, ""16926"": 2, ""17844"": 2, ""18032"": 2, ""19070"": 2, ""19932"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 60, ""end_node_index"": 255, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 60, ""end_node_index"": 256, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 60, ""end_node_index"": 257, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 60, ""end_node_index"": 258, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 48, ""end_node_index"": 250, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 46, ""end_node_index"": 249, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 44, ""end_node_index"": 248, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 42, ""end_node_index"": 247, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 40, ""end_node_index"": 246, ""start_node_index"": 206}, {""anchor_vertex"": 16563, ""edge_count"": 26, ""end_node_index"": 238, ""start_node_index"": 212}, {""anchor_vertex"": 14053, ""edge_count"": 24, ""end_node_index"": 237, ""start_node_index"": 213}, {""anchor_vertex"": 16540, ""edge_count"": 18, ""end_node_index"": 234, ""start_node_index"": 216}, {""anchor_vertex"": 17844, ""edge_count"": 16, ""end_node_index"": 233, ""start_node_index"": 217}, {""anchor_vertex"": 19932, ""edge_count"": 14, ""end_node_index"": 232, ""start_node_index"": 218}, {""anchor_vertex"": 16571, ""edge_count"": 10, ""end_node_index"": 229, ""start_node_index"": 219}, {""anchor_vertex"": 16572, ""edge_count"": 8, ""end_node_index"": 228, ""start_node_index"": 220}, {""anchor_vertex"": 19070, ""edge_count"": 6, ""end_node_index"": 227, ""start_node_index"": 221}, {""anchor_vertex"": 16575, ""edge_count"": 4, ""end_node_index"": 226, ""start_node_index"": 222}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[8],"S,P",5572,67f62ea0e90aff7e83eff45daa6ea08cc67b96f0b5a84e1e62d30e207f2b0dfe,402,401,50676.0,503.6999965310097,10330365.0,674515.0,203.85123135211936,13.310344147130792,145,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",10,2,10,3,8,"{""736"": 2, ""4939"": 2, ""5571"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""16926"": 2, ""18032"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 35, ""end_node_index"": 230, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 35, ""end_node_index"": 231, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 35, ""end_node_index"": 232, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 35, ""end_node_index"": 233, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 23, ""end_node_index"": 225, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 21, ""end_node_index"": 224, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 19, ""end_node_index"": 223, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 17, ""end_node_index"": 222, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 15, ""end_node_index"": 221, ""start_node_index"": 206}, {""anchor_vertex"": 5571, ""edge_count"": 2, ""end_node_index"": 210, ""start_node_index"": 208}]",REPEATED_DIRECTED_EDGE
analyzed,holdout_anchor_south_north_28_quality_conflict,holdout,tmp_scalar_via_recovered_non_elementary_walks.json,/candidates[9],"S,P",7442,6f0d9f856d60fc3b1369ed718c14630c78ddaad44dc654719219894e64f38df4,403,402,50968.0,505.3999965786934,10378138.0,678870.0,203.62066394600532,13.31953382514519,148,True,"{""elevation_high"": 0.0, ""elevation_low"": 0.0, ""length_high"": 0.0, ""length_low"": 0.0, ""popularity_low"": 0.0, ""width_high"": 0.0}","{""directed_edges_ok"": true, ""metric_deltas"": [0.0, 0.0, 0.0, 0.0], ""missing_edges"": 0, ""passed"": true, ""road_changes_delta"": 0}",9,2,9,3,7,"{""736"": 2, ""4939"": 2, ""8368"": 2, ""12162"": 2, ""13458"": 2, ""16926"": 2, ""18032"": 2, ""22073"": 2, ""22242"": 2}",False,736,,,,,,,,False,"[{""anchor_vertex"": 8368, ""edge_count"": 36, ""end_node_index"": 231, ""start_node_index"": 195}, {""anchor_vertex"": 4939, ""edge_count"": 36, ""end_node_index"": 232, ""start_node_index"": 196}, {""anchor_vertex"": 13458, ""edge_count"": 36, ""end_node_index"": 233, ""start_node_index"": 197}, {""anchor_vertex"": 736, ""edge_count"": 36, ""end_node_index"": 234, ""start_node_index"": 198}, {""anchor_vertex"": 22073, ""edge_count"": 24, ""end_node_index"": 226, ""start_node_index"": 202}, {""anchor_vertex"": 18032, ""edge_count"": 22, ""end_node_index"": 225, ""start_node_index"": 203}, {""anchor_vertex"": 16926, ""edge_count"": 20, ""end_node_index"": 224, ""start_node_index"": 204}, {""anchor_vertex"": 12162, ""edge_count"": 18, ""end_node_index"": 223, ""start_node_index"": 205}, {""anchor_vertex"": 22242, ""edge_count"": 16, ""end_node_index"": 222, ""start_node_index"": 206}]",REPEATED_DIRECTED_EDGE
