# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [10 x height_gain] [popularity] [street_width] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 4
v 0 2.2856217 48.7997239 111
v 1 2.2816864 48.80112 106
v 2 2.2787869 48.801103 114
v 3 2.2700163 48.8015523 113
v 4 2.2616819 48.8035829 113
v 5 2.2523163 48.807461 117
v 6 2.1919592 48.7062004 76
v 7 2.1734555 48.7154718 148
v 8 2.1716304 48.7169255 155
v 9 2.1983255 48.7478508 145
v 10 2.2176424 48.7487315 86
v 11 2.2230978 48.7817051 169
v 12 2.2232451 48.7831218 172
v 13 2.2565498 48.7216598 88
v 14 2.2587482 48.7230239 89
v 15 2.1656841 48.749458 158
v 16 2.1668795 48.7509129 157
v 17 2.1645853 48.7664469 98
v 18 2.1647962 48.7651115 90
v 19 2.1680794 48.7648857 88
v 20 2.1687176 48.7648697 88
v 21 2.165579 48.766654 98
v 22 2.1678602 48.7667035 97
v 23 2.1675025 48.7649016 88
v 24 2.1666618 48.7667609 99
v 25 2.1664222 48.7649726 89
v 26 2.2685494 48.7295783 67
v 27 2.1698712 48.7662196 94
v 28 2.1311733 48.7844473 162
v 29 2.1456375 48.7701395 99
v 30 2.1335657 48.7747362 125
v 31 2.1296463 48.7766082 111
v 32 2.1315115 48.7808842 131
v 33 2.1322213 48.7827726 138
v 34 2.1473242 48.7710207 106
v 35 2.1526959 48.7689522 100
v 36 2.1577416 48.7675783 98
v 37 2.158825 48.7671281 96
v 38 2.1594351 48.7668554 95
v 39 2.1605694 48.7653542 91
v 40 2.1609837 48.7651089 90
v 41 2.1609338 48.7650602 90
v 42 2.1609285 48.7648308 90
v 43 2.166691 48.7636898 95
v 44 2.1697463 48.762155 104
v 45 2.1764883 48.7613845 106
v 46 2.1810427 48.7617173 93
v 47 2.2201197 48.7468506 81
v 48 2.2205607 48.7465507 81
v 49 2.223024 48.7454785 91
v 50 2.223769 48.7450732 93
v 51 2.2241911 48.7446788 92
v 52 2.2255983 48.7434534 84
v 53 2.2251835 48.7423001 84
v 54 2.2266758 48.7442521 78
v 55 2.2281699 48.7448665 72
v 56 2.2256708 48.7455904 78
v 57 2.2242531 48.7464804 79
v 58 2.221149 48.7452162 94
v 59 2.2237019 48.7428253 100
v 60 2.22447 48.7417586 92
v 61 2.2308557 48.7348211 77
v 62 2.2295466 48.7362634 76
v 63 2.2301404 48.7380782 84
v 64 2.2198291 48.7464234 84
v 65 2.2183967 48.747851 84
v 66 2.211167 48.7492821 97
v 67 2.1680597 48.7646223 88
v 68 2.1674488 48.7636531 93
v 69 2.168263 48.763327 97
v 70 2.1694511 48.7633136 92
v 71 2.1714656 48.7639212 87
v 72 2.1691211 48.7628834 95
v 73 2.1716723 48.7638681 87
v 74 2.1612541 48.7652116 90
v 75 2.2179553 48.7852201 170
v 76 2.2185809 48.7813601 165
v 77 2.2193072 48.7823202 165
v 78 2.2198079 48.7845113 170
v 79 2.2187856 48.7824533 166
v 80 2.1389796 48.7956546 129
v 81 2.1409538 48.7946301 127
v 82 2.1500453 48.7880052 137
v 83 2.1484804 48.7895737 135
v 84 2.1460625 48.7916789 134
v 85 2.1502075 48.7871625 142
v 86 2.1515541 48.7863797 147
v 87 2.1531222 48.7857805 150
v 88 2.1516398 48.7867208 145
v 89 2.1505077 48.7875049 140
v 90 2.1486796 48.7870818 152
v 91 2.1672372 48.7814242 177
v 92 2.1332023 48.7874584 152
v 93 2.1368601 48.7882871 168
v 94 2.1707394 48.7808807 174
v 95 2.1740782 48.7808254 176
v 96 2.1739972 48.782365 176
v 97 2.195916 48.7798432 178
v 98 2.1970332 48.7797598 179
v 99 2.2063139 48.7789334 175
